word,category
article,Evidence
moderators,Actor
post,Evidence
constitutional,Effect
reform,Effect
text,Evidence
napoleon,Actor
colluded,Action
powers,Actor
pope,Effect
mother,Actor
severe,Effect
reaction,Effect
government,Actor
alone,Effect
pain,Effect
walk,Effect
carried,Effect
screaming,Effect
watch,Action
murdered,Effect
displaced,Action
fines,Action
xinhua,Actor
deliver,Evidence
israelis,Actor
palestinians,Victim
trained,Action
bomb,Evidence
experts,Evidence
deny,Action
susan,Actor
intriguing,Effect
missing,Effect
spying,Action
signed,Action
evidence,Evidence
ama's,Action
departure,Action
local,Actor
introduced,Action
introduce,Action
survey,Evidence
he's,Actor
examine,Action
entirely,Effect
case,Evidence
blooded,Action
leaves,Evidence
asking,Action
drown,Effect
pharma,Actor
gabbard,Actor
brother,Actor
nikolas,Actor
desire,Effect
activity,Effect
becomes,Effect
bunch,Action
shipped,Action
crack,Action
video,Evidence
bush,Actor
mixed,Effect
approval,Effect
added,Action
permission,Action
owner,Victim
doordash,Actor
potentially,Effect
leading,Effect
customers,Victim
modify,Effect
remove,Effect
restaurants,Actor
garnered,Evidence
march,Evidence
proponents,Actor
data,Evidence
buried,Action
taken,Action
seriously,Effect
industrial,Actor
contracted,Action
polio,Effect
consistent,Evidence
source,Evidence
amateur,Victim
improving,Effect
exercise,Effect
endurance,Effect
tumours,Effect
dropped,Effect
cardarine,Effect
opposed,Action
northern,Actor
michigan,Actor
decided,Action
hand,Action
count,Effect
ballot,Effect
prime,Actor
minister,Actor
announced,Action
resignation,Victim
august,Evidence
successor,Actor
geopolitical,Effect
interested,Effect
analysis,Evidence
richer,Actor
smith,Actor
prevent,Action
donald,Actor
democrat,Actor
framing,Effect
debates,Effect
monarchies,Actor
resulted,Effect
egyptian,Evidence
themed,Evidence
monuments,Evidence
chris,Actor
hedges,Actor
lee,Actor
paul,Actor
warns,Action
ideological,Effect
complained,Action
leaving,Effect
statement,Evidence
nationals,Actor
episode,Evidence
sam,Actor
ryan,Evidence
discuss,Action
stream,Actor
un,Actor
russian,Actor
executed,Effect
airstrikes,Effect
targeting,Action
advertising,Action
focus,Action
parents,Victim
citing,Evidence
colluding,Action
pressure,Action
posted,Evidence
start,Action
forget,Effect
let,Action
attempting,Action
said,Evidence
nyc,Actor
rules,Action
end,Effect
gmo,Effect
frequency,Effect
souls,Victim
learning,Action
german,Actor
career,Effect
starbucks,Actor
still,Effect
draw,Evidence
asked,Action
wrongly,Effect
communities,Victim
locals,Victim
ceo,Actor
advance,Action
ss,Actor
ve,Actor
footage,Evidence
kappy,Victim
monitor,Action
influencers,Actor
retailer,Effect
guantanamo,Actor
cave,Effect
breaks,Evidence
provided,Evidence
flynn,Actor
mueller,Actor
mueller's,Actor
lies,Action
clinton,Actor
senator,Actor
doug,Actor
mastriano,Actor
prohibit,Effect
cooperation,Effect
anthony,Actor
mysterious,Effect
produced,Action
must,Effect
seek,Effect
critique,Action
concept,Action
abusing,Action
suppress,Action
machine,Action
discredit,Effect
fauci,Actor
cindy,Victim
david,Actor
ray,Actor
box,Evidence
soldier,Actor
messed,Effect
locked,Effect
died,Effect
charles,Actor
gives,Action
activated,Effect
videos,Evidence
harmful,Effect
radiation,Effect
listening,Action
businessman,Actor
launder,Action
flew,Action
flanked,Effect
tao,Actor
liu,Actor
awaits,Effect
sentencing,Effect
bribe,Action
humanoid,Actor
species,Actor
performing,Action
rituals,Action
eating,Action
struggle,Effect
partially,Effect
vaccinated,Effect
locking,Effect
check,Evidence
masking,Action
contact,Action
hollywood,Actor
southern,Action
oct,Evidence
sight,Effect
families,Victim
workers,Victim
recent,Evidence
destroy,Effect
globalists,Actor
referendum,Effect
identification,Effect
